# Known grammatical errors in jpn_sentences.tsv
# These are TRUE POSITIVES - actual errors correctly detected by grammaticality()
# Format: sentence<TAB>error_type<TAB>explanation
#
# These sentences should be flagged as ungrammatical - they contain real errors
# in the Tatoeba source data, not false positives from our detection system.

部屋に入る前ににドアをノックして下さい。	doubled_particle	にに typo (should be 前にドア)
彼は会に病気ででられなかった。	doubled_de	でで typo (should be 病気で出られなかった)
彼きっとその企てにに成功するだろう。	doubled_particle	にに typo
大気は生物が反応する環境の主要な部分を構成しており、大きいな天然資源の持つ特徴を高度に備えている。	i_adj_na	大きいな is wrong (should be 大きな)
新しいクラスメイトととは、うまくいっていますか。	doubled_particle	とと typo
叔父から贈り物をもらえるものとと楽しみにしています。	doubled_particle	とと typo
私は彼に愛想がつきた。	wrong_conjugation	つきた should be ついた (godan-ka uses i-sound conjugation)
私は日本経済にに関する論文を仕上げなければならない。	doubled_particle	にに typo
私たちの会合が開かれるのはこの部屋でです。	redundant_copula	で+です is redundant
死にかけているのだとという思いがさっと彼女の頭をよぎった。	doubled_particle	とと typo (だとという)
君には愛想がつきたよ。	wrong_conjugation	つきた should be ついた
急いで。列車が１０分ででます。乗り遅れたくないです。	doubled_de	でで typo (should be で出ます)
我々は途中でであった。	doubled_de	でで typo (should be で会った)
われながら愛想がつきた。	wrong_conjugation	つきた should be ついた
ＭＹＳＴやＲＩＶＥＮででてくるような革表紙の本のようなブックカバーをつくりたい。	doubled_de	でで typo (should be で出てくる)
僕は外国がが好きなんだよ。	doubled_particle	がが typo
正しい文を書くのがとても簡単なので、間違っている文を抹消しているうちに、不意に一つ、二つの正しい文を一緒に抹消してしまっていても、かまわないだと私は思います。それは、コーパス全体の質を上げられるからです。	i_adj_da	かまわないだ is wrong (i-adj + da)
時間があれば、会いにに来てください	doubled_particle	にに typo
トム君はコンドームを買うのが恥ずかしいだと思う。	i_adj_da	恥ずかしいだ is wrong (i-adj + da)
あの女の子が大きいな声で鳴きながら母を探していた。	i_adj_na	大きいな is wrong (should be 大きな)
私が小さい頃には海に泳ぐために行ったたなあ。	doubled_ta	たた typo (doubled past tense)
あなたが時間内ににここに着くのは分かっていました。	doubled_particle	にに typo
ドナルドが気持ち悪いだと思いませんか？	i_adj_da	気持ち悪いだ is wrong (i-adj + da)
貯金ばっかり増えて使い道がないだって？そりゃまた随分贅沢な悩みだな。	i_adj_da	ないだって is wrong (i-adj + da)
時々に日本語を勉強することが難しいだ	i_adj_da	難しいだ is wrong (i-adj + da)
長い髪をするのはめんどうくさいだね。	i_adj_da	めんどうくさいだ is wrong (i-adj + da)
ヨーロッパ人見たいだね。	i_adj_da	見たいだ is wrong (たい + da); likely meant みたいだ
グレート・パンプキンはいるを思いますか。	ichidan_wo	いるを is wrong (should be いると思う)
