sentence	predicted	label	kotogram
15人に限られている。	sonkeigo	neutral	⌈ˢ15ᵖnoun:numeralʳイチゴ⌉⌈ˢ人ᵖsuffix:noun-likeʳニン⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ限らᵖverb:general:godan-ra:imperfectiveᵇ限るᵈ限るʳカギラ⌉⌈ˢれᵖauxiliary-verb:auxv-reru:conjunctiveᵇれるᵈれるʳレ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢいるᵖverb:non-self-reliant:i-ichidan-a:terminalʳイル⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
1912年、オーストリアの仕立て屋のフランツ・ライヒェルトは、パラシュート・コートという彼の新しい発明をテストするため、エッフェル塔の2階から飛び降りたが、発明品は上手く動作しなかったため、彼は死亡した。	kyoshigo	neutral	⌈ˢ1912ᵖnoun:numeralʳイチキュウイチニ⌉⌈ˢ年ᵖnoun:common-noun:counter-possibleʳネン⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢオーストリアᵖnoun:proper-noun:place-name:country⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ仕立て屋ᵖnoun:common-nounʳシタテヤ⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢフランツᵖnoun:proper-noun:person-name⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢライヒェルトᵖnoun:common-noun⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢパラシュートᵖnoun:common-noun⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢコートᵖnoun:common-noun⌉⌈ˢとᵖparticle:case-particleʳト⌉⌈ˢいうᵖverb:general:godan-waa:attributiveʳイウ⌉⌈ˢ彼ᵖpronounʳカレ⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ新しいᵖadjective:general:adjective:attributiveʳアタラシイ⌉⌈ˢ発明ᵖnoun:common-noun:pos2-unk2ʳハツメイ⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢテストᵖnoun:common-noun:suru-possible⌉⌈ˢするᵖverb:non-self-reliant:sa-irregular:attributiveʳスル⌉⌈ˢためᵖnoun:common-noun:adverb-possibleʳタメ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢエッフェル塔ᵖnoun:proper-nounʳエッフェルトウ⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ2ᵖnoun:numeralʳニ⌉⌈ˢ階ᵖnoun:common-noun:counter-possibleʳカイ⌉⌈ˢからᵖparticle:case-particleʳカラ⌉⌈ˢ飛び降りᵖverb:general:i-ichidan-ra:conjunctiveᵇ飛び降りるᵈ飛び降りるʳトビオリ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢがᵖparticle:conjunctive-particleʳガ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢ発明ᵖnoun:common-noun:pos2-unk2ʳハツメイ⌉⌈ˢ品ᵖsuffix:noun-likeʳヒン⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ上手くᵖadjective:general:adjective:conjunctiveᵇ上手いᵈ上手いʳウマク⌉⌈ˢ動作ᵖnoun:common-noun:suru-possibleʳドウサ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:imperfectiveᵇするᵈするʳシ⌉⌈ˢなかっᵖauxiliary-verb:auxv-nai:conjunctive-geminateᵇないᵈないʳナカッ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:attributiveʳタ⌉⌈ˢためᵖnoun:common-noun:adverb-possibleʳタメ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢ彼ᵖpronounʳカレ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ死亡ᵖnoun:common-noun:suru-possibleʳシボウ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
25ページの地図をご覧ください。	neutral	sonkeigo	⌈ˢ25ᵖnoun:numeralʳニゴ⌉⌈ˢページᵖnoun:common-noun:counter-possible⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ地図ᵖnoun:common-nounʳチズ⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢご覧ᵖnoun:common-nounʳゴラン⌉⌈ˢくださいᵖverb:non-self-reliant:godan-ra:imperativeᵇくださるᵈくださるʳクダサイ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
50代の方々に健康的な生活を送って頂くために、支援を行っております。	neutral	kenjogo	⌈ˢ50ᵖnoun:numeralʳゴレイ⌉⌈ˢ代ᵖnoun:common-noun:counter-possibleʳダイ⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ方々ᵖnoun:common-nounʳカタガタ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ健康的ᵖnoun:common-noun:pos2-unk1ʳケンコウテキ⌉⌈ˢなᵖauxiliary-verb:auxv-da:attributiveᵇだᵈだʳナ⌉⌈ˢ生活ᵖnoun:common-noun:suru-possibleʳセイカツ⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢ送っᵖverb:general:godan-ra:conjunctive-geminateᵇ送るᵈ送るʳオクッ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ頂くᵖverb:non-self-reliant:godan-ka:attributiveʳイタダク⌉⌈ˢためᵖnoun:common-noun:adverb-possibleʳタメ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢ支援ᵖnoun:common-noun:suru-possibleʳシエン⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢ行っᵖverb:general:godan-waa:conjunctive-geminateᵇ行うᵈ行うʳオコナッ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢおりᵖverb:non-self-reliant:godan-ra:conjunctiveᵇおるᵈおるʳオリ⌉⌈ˢますᵖauxiliary-verb:auxv-masu:terminalʳマス⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
5つの重要文化財を含めて、市役所では12件が文化庁に登録されました。	sonkeigo	neutral	⌈ˢ5ᵖnoun:numeralʳイツ⌉⌈ˢつᵖsuffix:noun-like:counterʳツ⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ重要文化財ᵖnoun:common-nounʳジュウヨウブンカザイ⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢ含めᵖverb:general:e-ichidan-ma:conjunctiveᵇ含めるᵈ含めるʳフクメ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢ市役所ᵖnoun:common-nounʳシヤクショ⌉⌈ˢでᵖparticle:case-particleʳデ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ12ᵖnoun:numeralʳイチニ⌉⌈ˢ件ᵖnoun:common-noun:counter-possibleʳケン⌉⌈ˢがᵖparticle:case-particleʳガ⌉⌈ˢ文化庁ᵖnoun:common-nounʳブンカチョウ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ登録ᵖnoun:common-noun:suru-possibleʳトウロク⌉⌈ˢさᵖverb:non-self-reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢれᵖauxiliary-verb:auxv-reru:conjunctiveᵇれるᵈれるʳレ⌉⌈ˢましᵖauxiliary-verb:auxv-masu:conjunctiveᵇますᵈますʳマシ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
8件の世界遺産を含めて、ベトナムでは３９件はユネスコにすでに認定されました。	sonkeigo	neutral	⌈ˢ8ᵖnoun:numeralʳハチ⌉⌈ˢ件ᵖnoun:common-noun:counter-possibleʳケン⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ世界遺産ᵖnoun:proper-nounʳセカイイサン⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢ含めᵖverb:general:e-ichidan-ma:conjunctiveᵇ含めるᵈ含めるʳフクメ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢベトナムᵖnoun:proper-noun:place-name:country⌉⌈ˢでᵖparticle:case-particleʳデ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ３９ᵖnoun:numeralᵇ39ᵈ39ʳサンキュウ⌉⌈ˢ件ᵖnoun:common-noun:counter-possibleʳケン⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢユネスコᵖnoun:proper-noun⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢすでにᵖadverbʳスデニ⌉⌈ˢ認定ᵖnoun:common-noun:suru-possibleʳニンテイ⌉⌈ˢさᵖverb:non-self-reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢれᵖauxiliary-verb:auxv-reru:conjunctiveᵇれるᵈれるʳレ⌉⌈ˢましᵖauxiliary-verb:auxv-masu:conjunctiveᵇますᵈますʳマシ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
A:本当に全部食べるの？B:それはお腹がペコペコですからね！	joseigo	kyoshigo,joseigo	⌈ˢAᵖnoun:common-nounᵇaᵈaʳa⌉⌈ˢ:ᵖauxiliary-symbol:generalʳキゴウ⌉⌈ˢ本当ᵖnoun:common-nounʳホントウ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ全部ᵖnoun:common-noun:adverb-possibleʳゼンブ⌉⌈ˢ食べるᵖverb:general:e-ichidan-ba:attributiveʳタベル⌉⌈ˢのᵖparticle:sentence-final-particleʳノ⌉⌈ˢ？ᵖauxiliary-symbol:periodᵇ?ᵈ?ʳ?⌉⌈ˢBᵖnoun:common-nounᵇbᵈbʳb⌉⌈ˢ:ᵖauxiliary-symbol:generalʳキゴウ⌉⌈ˢそれᵖpronounʳソレ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢお腹ᵖnoun:common-nounʳオナカ⌉⌈ˢがᵖparticle:case-particleʳガ⌉⌈ˢペコペコᵖshape-word:general⌉⌈ˢですᵖauxiliary-verb:auxv-desu:terminalʳデス⌉⌈ˢからᵖparticle:conjunctive-particleʳカラ⌉⌈ˢねᵖparticle:sentence-final-particleʳネ⌉⌈ˢ！ᵖauxiliary-symbol:periodᵇ!ᵈ!ʳ!⌉
a⨯bはabと略記される。	sonkeigo	neutral	⌈ˢaᵖnoun:common-noun:counter-possibleʳアール⌉⌈ˢ⨯ᵖnoun:common-noun:suru-possible⌉⌈ˢbᵖnoun:common-noun⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢabᵖnoun:common-nounᵇABᵈABʳエービー⌉⌈ˢとᵖparticle:case-particleʳト⌉⌈ˢ略記ᵖnoun:common-noun:suru-possibleʳリャッキ⌉⌈ˢさᵖverb:non-self-reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢれるᵖauxiliary-verb:auxv-reru:terminalʳレル⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
ggrks。	neutral	netslang	⌈ˢggrksᵖnoun:proper-nounʳググレカス⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
gkbrして震え中。	neutral	netslang	⌈ˢgkbrᵖnoun:proper-nounʳガクブル⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ震えᵖverb:general:e-ichidan-a:conjunctiveᵇ震えるᵈ震えるʳフルエ⌉⌈ˢ中ᵖsuffix:noun-like:adverb-possibleʳチュウ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
