sentence_id	sentence
25	私は山にいた。
35	私は一日に100ユーロ稼ぎ。
42	みんなもそうなのかな、思うことくらいしかできない。
132	なんて聞くの？
232	何で答えたの？
311	これ以上考えでも無駄だ。
328	もっと成績を気にかけられればいいのだけれど、でも自分の人生のある点において成績はそんなに重要はないと分かったんだ。
402	あぁ私の白いなズボンが！新しいのに。
451	失礼だが、上記の記事である３つの誤りを指摘しておきたい。
472	年月を経で物事がどう変わっていくか見るのは面白そうだ。
522	こちらは私の友達のレイチェルです。私たちは同じ高校に通っていた。
582	日焼け止めを塗りたくないならそれは君の問題だからいいけれど、でも日焼けしたからって僕に不満を言うのは止めでくれよ。
654	あまりに散らかっていていらをする。
751	高校時代について最も後悔することを人々に尋ねると大抵の人は決まってこう言う。時間を無駄にしすぎていたた、と。
779	この赤ちゃんペンギンとても可愛い！
785	止めで！あなたは彼女の気分を害してるわ。
798	私はあなたが送ってくれた手紙を読んでいた。
824	今朝テレビを見た。
860	スペンサーはいたずらをした友達に仕返しをするひそか計画を誰にも言わないだろう。
1090	彼は1888年7月28日に生まれた。
1159	身命をかけて職務を実践し、すべての警察官の心に火をともしてくれた。
1203	ただ、調子を合わせているんじゃない。本当に、私の気持ちを分かっていて同情している目だったた。
1308	官軍で入城を許すとはどういう了見だ。
1384	母ちゃんも同じ事いてたな。だからどうしたってんだよ。オレにゃ関係ない。
1388	終わったあとも足が軽い感じがした。
1411	サイレンが急変を知らせた。
1430	窓が開ける時は、カーテンは閉めないで下さい。
1438	私自身も、当社で入社する前の会社では、２度ほどトップに直言した経験があります。
1442	『極道の妻たち』は、1986年、東映配給網によりを公開されたヤクザ映画。
1486	このシステムのもとででは、生徒は交替で教えあい、お互いに助け合わなければなりません。
1542	遊びを相手がなくて孤独だった。
1549	そんなことを考えながら『我輩はカモである』を再見した。
1557	一生懸命磨きた。困ったのは、意外と低級宝石のストックがないことです。
1599	女ってどうして連れをションしたがるの？物凄く理解不能。
1660	ガーデニングの本を見てたら、ドクロマークのついたのがいっぱいあて驚きました。
1668	小学校のときから、酸性・アルカリ性という性質をリトマス紙で調べたりしてきていね。
1671	リトマス紙で溶液の液性（酸性、中性、塩基性）を調べるときは、リトマス紙をすべて溶液に浸すのではなく、紙の先端の部分だけを浸し。
1688	「寝てた？」「爆睡」「そ、そうか？」「なんかうなされてたよ。怖い夢ででも見てた？」
1760	トップのリーダーは犬の行動学では「アルファ」と呼ばれ、以下「ベータ」「ガンマ」と続き。
1768	お宮参りで訪れた大西幸治さん(40)、由希恵さん(34)夫妻は「子どもが健やかに育つことを祈りました」話していた。
1784	玄関にも取り付けを可能な暗証タイプです。
1786	ただし、安全日だからって、中出しをしても妊娠しないというわけではないらしいです。
1839	そのため、いつも清新雰囲気に包まれますが、今回もその通りの充実した一日となりました。
1841	そのため、いつも清新な雰囲気に包まれが、今回もその通りの充実した一日となりました。
1873	自然状態の髪の毛には、油分が含まれています。
1892	ドルペッグの意味は、強い国ににつけということです。
1922	どうぞ、皆様も最後の一瞬まで粘りを抜いてください。
2023	なんてもっと早くここに来なかったのだ。
2068	ブレーカーが落ちて真っ暗闇になった時、赤ちゃんが怖くて泣きだした。
2115	水から上がり、入江のほとりの砂の上を、よちよち歩き出した。
2128	ほぼ赤道直下であるシンガポールでは、雨季・乾季があまり明瞭ではない。
2137	おやおや、食事の途中に席を立つとはマナーに反しね。
2143	自分よりも下品相手は『下品』と思い、自分よりも上品な相手は『上品ぶっている』と思いますね。
2144	自分よりも下品な相手は『下品』思い、自分よりも上品な相手は『上品ぶっている』と思いますね。
2155	難民がごみごみした裏町に住んでいた。
2167	クエーサーとは、非常に遠方である、まぶしい輝きを放つ天体だ。
2195	最近いった歯医者で「歯槽膿漏がありますね」言われ悩んでいます。
2228	このままでではわが国の国際競争力はさらに低下する恐れが大きい。
2277	水道料金を滞納すると給水を停止されるということをお聞きしたが本当ですか？
2335	ケアプランの作成等の居宅介護支援事業については、介護保険によりを負担されます。
2360	仮性近視というのは知ってたが、まさか自分の子供が仮性近視になるなんて思ってませんでした。
2392	読者の方から意訳と直訳について質問された。
2406	肩関節は、単独で動くほか、腕の動きにも連動して動き。
2412	フロイトは、親子間の愛憎関係をエディプス・コンプレックスとして展開した。
2459	彼女は申し訳なさそうに「食べられなかった」言った。
2540	私よりもっとエッチな人もいて安心した。
2546	普通の人は、３Ｄだとか高速でうんならだとか必要としないですからね。
2587	家中が力を合わせて麦の刈入れをした。
2640	おっと、せっかく時間前に来たのに、ダベッでたら遅刻しちまう。
2657	管理用画面に管理者しかアクセスできないようにした。
2670	車も何もなく、生活保護で生きて。
2710	ある日、友人から「いい話があるから会わないか」と電話があり、友人の家へ出かけた。
2714	ルネッサンス時代、ベニスの芸術は全盛期を迎えていた。
2732	腰の痛みから足が鉛のように重く引きずるように歩いていた。
2746	すべての人は死ぬ運命である。 しかし、いつ死ぬかどのように死ぬかは決められない。
2772	なんても自分で手がけると、いとおしくなるものです。
2784	海綿は水を吸収しので水彩絵具をぼかしたりする時に便利です。
2823	これについては「まことに仰る通りでございます」答えるしかないのです。
2828	女性の乞食が５～６人の子どもをぞろぞろつれて物乞いをしていた。
2848	英語のコミュニティでお名前とコメントを拝見し、プロフィールを拝読した。
2874	早く帰った方がいい、暑いから。サバは、生きを腐れとも言われるくらい足が早い。
2893	「高い所って、あたしは好きだなぁ。あたしって、前世はきっと・・・飛行機だったのかな？」「普通、そこは鳥でしょうがが」
2983	「いい人ね。なんだか気が合いをそう」「だろうな」
2987	シンガポールの医師は殆どの場合皆お互いを知っている、というのが日本と異なり。
3001	以上のように、実にシンプルな誰でも出来るノウハウで十分利益と顧客は確保できるのです！
3005	偽造カードと暗証番号が揃えば、口座である限りの現金が引き出されてしまう。
3018	私は婚約を解消した。
3052	お肉の焼き加減は、いかがなさいか？
3072	「あ、は、はい・・・ごめん、玲姉」「コラ。幾ら親戚とはいえ、私は先輩医師よ？院内ではちゃんとケジメをつけをなさい」
3109	好奇心がお旺盛なのは大変に結構ことである。
3117	お楽しみをいただけましたら、ポチっと１票お願いいたします！
3176	彼はライバル会社に引き抜かれた。
3185	お友達ブロガーさんがブログ閉鎖を決心されて凹みを気味です。
3202	この土地ととこの家は私の物ですよ。
3230	２００６年９月の軍事クーデターで失脚、事実上亡命中だったタイのタクシン元首相が２８日、約１年半ぶりで帰国した。
3270	比較的難しいジグソーだと感じた。
3273	文字を大きくし、文字間や行間に余裕をもたせ、高齢者の方や、視力に障害のある方が読み易いように注意した。
3345	部屋がほこりをっぽいのは掃除機のせい？
3358	私も先日クリスマスプレゼントにちょっとしたものをあげた。
3361	へー、キーボード見ないで文字打てるんだ。スゴイのだわねー。
3368	「お父さんとうまくいてないのか」「・・・」「すまない。立ち入ったことだった」
3370	カラオケ、ゲーム、ビデオに冷蔵庫・・・今のラブホってなんてもあるのねー。
3374	テニスウェアってなんてミニスカートなのかしら？
3403	そのことは、各研究分担者ととこのテーマとの関係を瞥見すれば、おのずから明らかとなる。
3477	彼女は抗生物質貰て寝てりゃ治るだろ。
3504	敵の旗艦を撃破した！
3524	被弾した。ダメージは軽微です。
3527	今の日本は自滅へのみちを突き進んでいよね。
3593	「それは何ですか」とお聞きをしたら「自分で調べなさい」と言われてしまいました。
3601	どいつもこいつも不平ばかり言いやがて。
3649	このメルマガは、昨今の語学産業界の甘言に躍らされることなく、文法解釈という古典的学習法こそ王道と信じで疑わない方のためのメルマガです。
3705	プライヤー氏はパリでの公演のリハーサル中にくも膜下出血で倒れ、市内の病院に運ばれたが午後４時２３分息を引き取りました。
3763	只見町は福島県南会津地方であり、急峻な山を隔てて新潟との県境に位置しています。
3765	只見町は福島県南会津地方にあり、急峻な山を隔てで新潟との県境に位置しています。
3768	一発で命中しなくたって、妊娠するまでハメを続ければいいだけだし。
3794	助けでやりたいとは思うが、自分ではどうしようもなかった。
3818	別にブルマに特別な関心があるわけじゃない。そういうフェティシズムはない、思う。
3845	「背が伸びて入らないわよね」「そう、断じて太ったわけではない！」「成長したという便利言葉は我々の切り札」
3889	向こうではセレブという言葉を「金持ち」の意味では使わない。という事で日本人と判明した。
3899	夕方でもう暗かったんですけど、ネコが電線を渡っているのを見た。 そそそ、そんなことできるんですか、ネコって。
3915	在留届に変更があったり、未だに変更届を提出されていない方は、至急提出頂きますようお願いをします。
3918	在留届に変更があったり、未だに変更届を提出されていない方は、至急提出頂きようお願いします。
3925	ひろしは困り果てているのよ。レポートを書くのに必要一冊しかない本をなくしてしまったの。
3946	天文学者が局部超銀河団の存在を推定した。
4015	移民たちは、そこへ、木の漁船にすし詰め状態で、危険航海をするのである。
4017	行けども行けども、やはり同じ場所をグルグル回っている気がしてたらない。
4029	果樹栽培者がリンゴの接ぎ穂を台木に接ぎ木した。
4057	２０％増量って書いているととつい手が出ない？
4076	聞きたわよ。ご両親が借金を残して蒸発したそうですわね。
4120	ちょうどいいね。新型の試乗しててもらうね。
4195	図書館は行かないんだよ。でも駅までなら連れててあげるよ。
4221	集められた使用人さんたちは、総勢・・・ひゃ、百人近いだよ。
4314	大学出たての新人は資料を作ったり、コピーをとったりと裏方仕事に徹するのだろうと、勝手に想像していたのですが見事に裏切られた。
4329	企業は、競合他社を業界内の狭い範囲で捉えで、本当のライバルを明確に理解してない場合が数多くあります。
4331	何か出そう定番の場所ですからね。自動演奏するグランドピアノや独りでに動き出す人体模型や。
