sentence	error	predicted_value	actual_value
お前ら、ちゃんと宿題やれよ！	0.911998	-0.0450	-1.0000
彼女は幸せだったようだ。	0.049343	-0.2221	0.0000
昨日来た人がまたやってきた。	0.045090	-0.2123	0.0000
学生は図書館の本を利用すべきだ。	0.043840	-0.2094	0.0000
彼は私に親切に一言助言してくれた。	0.040353	-0.2009	0.0000
彼は私にあまり忠告をくれなかった。	0.040139	-0.2003	0.0000
赤ちゃんはおもちゃを持っています。	0.038160	-0.1953	0.0000
昨年の物価上昇はまあまあだった。	0.037623	-0.1940	0.0000
彼女の少女のような顔立ちからは、とても四十個には見えなかった。	0.032401	-0.1800	0.0000
母親は、娘が離れて大学へ行っているのでさびしい思いをした。	0.030229	-0.1739	0.0000
過去にとらわれるのではなく、こらから、今から、今日うからということと、常に前に進んでべき強気一念を忘れまい。	0.030138	-0.1736	0.0000
彼女はどのくらい困難に立ち向かおうとも、決して諦めなかった。	0.029796	-0.1726	0.0000
今日の練習は失敗ばかりだったから、明日やり直そう。	0.028117	-0.1677	0.0000
この道具はもうあまり使用されない。	0.026511	-0.1628	0.0000
なんと重いなかばんだ！	0.026038	-0.1614	0.0000
私たちの最近の喧嘩は、お互いのコミュニケーションが不足していたことによるのだね。	0.025923	-0.1610	0.0000
１分だってほぼ４つかかるんだから。	0.025137	-0.1585	0.0000
ストレスが溜まっているなら、運動なり趣味なりを見つけて発散するのがいい。	0.022575	-0.1502	0.0000
あなたと出会ったのを皮切りとして、私の日々は色鮮やかに変わったよ。	0.020239	-0.1423	0.0000
彼女はまた近く本を書くでしょう。	0.019492	-0.1396	0.0000
サービスが悪かったら、チップを置かなかったですよ。	0.015763	-0.1256	0.0000
今日は、これまでになく寒い。	0.015606	-0.1249	0.0000
お好きなだけ時間をとっても構いませんよ。	0.012517	-0.1119	0.0000
自然環境の悪化を阻止しましょう。	0.010250	-0.1012	0.0000
現実を回避するのはもうやめろ。	0.009051	-0.0951	0.0000
あれ?家にいるって言ってませんでしたっけ?	0.000499	-0.0223	0.0000
